fips,stabb,state_1860,county_name_1860,totpop_1860,slave_1860,slave_share_1860,foreign_share_1860,log_pop_1860,log_farm_value_pc_1860,impr_share_1860,land_gini_1860,n_farms_1860,n_slaveholders_1860,slaves_per_holder_1860,farm_value_1860,year,covpop,cpop,covind,murder,violent,property,murder_rate,violent_rate,property_rate,log_violent_rate,log_property_rate,asinh_violent_rate,log_covpop
1001,AL,Alabama,Autauga,16739.0,9607.0,0.5739291474998507,0.0017922217575721368,9.72549660510262,5.1551676951610155,0.29999453449869967,0.5681753184603253,730.0,576.0,16.678819444444443,2901285.0,1990,19587,19587.0,100.0,1,238,1057,5.105427068974319,1215.0916424158881,5396.4364119058555,7.10257477878696,8.593494090985724,7.795722128672196,9.882621359854744
1001,AL,Alabama,Autauga,16739.0,9607.0,0.5739291474998507,0.0017922217575721368,9.72549660510262,5.1551676951610155,0.29999453449869967,0.5681753184603253,730.0,576.0,16.678819444444443,2901285.0,2000,43671,44584.0,100.0,2,191,1540,4.579698197888759,437.3611778983765,3526.3676123743444,6.080759347784088,8.168023615145133,6.7739078352932,10.68443954523277
1001,AL,Alabama,Autauga,16739.0,9607.0,0.5739291474998507,0.0017922217575721368,9.72549660510262,5.1551676951610155,0.29999453449869967,0.5681753184603253,730.0,576.0,16.678819444444443,2901285.0,2010,54571,56219.0,100.0,0,143,1521,0.0,262.0439427534771,2787.1946638324384,5.5685122101307165,7.932790872130102,6.2616630314283235,10.907257885099419
1001,AL,Alabama,Autauga,16739.0,9607.0,0.5739291474998507,0.0017922217575721368,9.72549660510262,5.1551676951610155,0.29999453449869967,0.5681753184603253,730.0,576.0,16.678819444444443,2901285.0,2016,54499,57135.0,100.0,3,153,1722,5.504688159415769,280.73909613020425,3159.6910035046512,5.63742575450352,8.058229518098761,6.330576107055935,10.905937631859144
1003,AL,Alabama,Baldwin,7530.0,3714.0,0.4932270916334661,0.05670650730411687,8.92665032079394,4.129765543309398,0.12190753251749092,0.6507874157599077,188.0,289.0,12.85121107266436,468090.0,1990,97721,97721.0,100.0,7,235,2731,7.1632504784028,240.48055177495112,2794.6910080740067,5.482639220475382,7.935476827804928,6.175790723956069,11.489871758639005
1003,AL,Alabama,Baldwin,7530.0,3714.0,0.4932270916334661,0.05670650730411687,8.92665032079394,4.129765543309398,0.12190753251749092,0.6507874157599077,188.0,289.0,12.85121107266436,468090.0,2000,54073,140415.0,100.0,1,264,3817,1.8493518021933313,488.22887577903947,7058.975828971946,6.190784303647326,8.86205525324624,6.883932533006602,10.89809026446922
1003,AL,Alabama,Baldwin,7530.0,3714.0,0.4932270916334661,0.05670650730411687,8.92665032079394,4.129765543309398,0.12190753251749092,0.6507874157599077,188.0,289.0,12.85121107266436,468090.0,2010,182265,182265.0,94.7822,3,386,4161,1.6459550654267139,211.77955175157052,2282.939675746852,5.355545883424237,7.733219222942348,6.048698638001684,12.113216951010822
1003,AL,Alabama,Baldwin,7530.0,3714.0,0.4932270916334661,0.05670650730411687,8.92665032079394,4.129765543309398,0.12190753251749092,0.6507874157599077,188.0,289.0,12.85121107266436,468090.0,2016,207584,207584.0,99.5843,2,443,4057,0.9634653923231078,213.40758439956838,1954.389548327424,5.363203879002582,7.577833172163894,6.056356548859575,12.243291356012781
1005,AL,Alabama,Barbour,30812.0,16150.0,0.5241464364533299,0.006783071530572504,10.335659503472856,5.081420491506706,0.3918112112520911,0.5604346621997083,1529.0,1143.0,14.129483814523185,4960812.0,1990,25417,25417.0,100.0,4,103,488,15.737498524609514,405.24058700869494,1919.9748200023607,6.004480932730215,7.560067350353727,6.697629635635371,10.143173520469649
1005,AL,Alabama,Barbour,30812.0,16150.0,0.5241464364533299,0.006783071530572504,10.335659503472856,5.081420491506706,0.3918112112520911,0.5604346621997083,1529.0,1143.0,14.129483814523185,4960812.0,2000,2087,29038.0,100.0,0,30,64,0.0,1437.4700527072353,3066.6027791087686,7.270639939555183,8.0283256412527,7.963787241103134,7.643482907077201
